boro_ct2010,Date,Time,Type
2042000,6/30/2017,1:32:00,PropertyCrime
1006400,6/1/2017,12:00:00,PropertyCrime
1001800,12/10/2017,12:00:00,PropertyCrime
1021600,12/27/2017,18:00:00,PropertyCrime
1008100,11/25/2017,0:00:00,PropertyCrime
4127700,12/30/2017,0:00:00,PropertyCrime
4099801,12/12/2017,9:00:00,PropertyCrime
4025400,12/28/2017,14:00:00,PropertyCrime
1004900,8/12/2017,9:00:00,PropertyCrime
3035400,12/25/2017,8:00:00,PropertyCrime
4028400,8/12/2017,10:15:00,PropertyCrime
4083700,11/25/2017,9:00:00,PropertyCrime
4134100,10/6/2017,12:00:00,PropertyCrime
2040100,4/8/2017,14:00:00,PropertyCrime
