OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
11036,2017-09-06,14:03:00,4040700
11037,2017-09-10,0:05:00,4028500
11038,2017-09-05,2:15:00,4028700
11039,2017-09-20,14:07:00,4028900
11040,2017-09-20,14:07:00,4028900
11041,2017-09-20,14:07:00,4028900
11042,2017-09-20,14:07:00,4028900
11043,2017-09-27,20:00:00,4035700
11044,2017-10-05,5:00:00,4030903
11045,2017-10-05,15:55:00,4028900
11046,2017-08-22,17:50:00,4035300
11047,2017-10-10,20:22:00,4040500
11048,2017-10-13,20:58:00,4035700
11049,2017-10-27,21:28:00,4027700
11050,2017-10-27,21:29:00,4027700
11051,2017-10-27,21:29:00,4027700
11052,2017-10-30,16:17:00,4029100
11053,2017-08-10,22:25:00,4037900
11054,2017-11-16,23:00:00,4030903
11055,2017-11-17,9:22:00,4028900
11056,2017-11-15,16:44:00,4038100
11057,2017-11-15,16:44:00,4038100
11058,2017-11-15,16:44:00,4038100
11059,2017-11-15,16:44:00,4038100
11060,2017-11-15,16:44:00,4038100
11061,2017-11-15,16:44:00,4038100
11062,2017-11-12,5:30:00,4028900
11063,2017-11-28,23:30:00,4038100
11064,2017-12-05,17:13:00,4027300
11065,2017-12-08,0:10:00,4038100
11066,2017-12-08,11:15:00,4033100
11067,2017-12-08,17:54:00,4027500
11068,2017-12-17,2:13:00,4028300
11069,2017-12-20,23:59:00,4030904
11070,2017-12-30,9:17:00,4030902
11071,2017-01-07,5:17:00,5010500
11072,2017-01-04,14:44:00,5002700
11073,2017-01-09,3:00:00,5004000
11074,2017-01-02,16:23:00,5000600
11075,2017-01-14,11:28:00,5010500
11076,2017-01-22,2:25:00,5000300
11077,2017-01-22,17:00:00,5002100
11078,2017-01-23,1:20:00,5000600
11079,2017-01-23,1:20:00,5000600
11080,2017-01-13,3:50:00,5016901
11081,2017-01-09,21:50:00,5012500
11082,2017-01-09,21:50:00,5012500
11083,2017-01-25,12:45:00,5016901
11084,2017-01-23,13:09:00,5000300
11085,2017-01-25,14:50:00,5004000
11086,2017-01-28,0:10:00,5002900
11087,2017-01-29,19:19:00,5002900
11088,2017-01-29,20:12:00,5002100
11089,2017-02-06,20:05:00,5001100
11090,2017-02-06,20:05:00,5001100
11091,2017-02-06,20:05:00,5001100
11092,2017-02-06,20:05:00,5001100
11093,2017-01-30,20:05:00,5004000
11094,2017-01-30,20:05:00,5004000
11095,2017-02-17,21:47:00,5013301
11096,2017-02-17,21:36:00,5013301
11098,2017-02-20,16:42:00,5004000
